ACT Code	High School	State	Active
020197	EAGLE RIVER CHRISTIAN ACADEMY	AK	Y
020198	ANCHORAGE SVNTH DAY ADV JR AC	AK	N
020199	BIBLE BAPTIST ACADEMY	AK	Y
020203	MOSES PETER MEMORIAL HS	AK	N
020204	ARLICAQ SCHOOL	AK	N
020205	JOANN A ALEXIE MEMORIAL HS	AK	N
020206	CHAPUTNGUAK HIGH SCHOOL	AK	N
020207	EEK SCHOOL	AK	N
020208	ROCKY MOUNTAIN SCHOOL	AK	N
020209	KASIGLUK-AKULA	AK	N
020210	CHIEF PAUL MEMORIAL SCHOOL	AK	N
020211	KONGIGANAK SCHOOL	AK	N
020212	KWETHLUK HIGH SCHOOL	AK	N
020213	KWIGILLINGOK HIGH SCHOOL	AK	N
020214	NUNJWARMIUT SCHOOLS	AK	N
020215	WILLIAM N MILLER MEMORIAL SCH	AK	N
020216	ZACHARIAS J WILLIAMS MEM HS	AK	N
020217	NELSON ISLAND HIGH SCHOOL	AK	N
020218	NEWTOK AYAPRUN HIGH SCHOOL	AK	N
020219	NIGHTMUTE SCHOOL	AK	N
020220	ANNA TOBELUK MEMORIAL HS	AK	N
020221	ARVIQ HIGH SCHOOL	AK	N
020222	KUINERRARMIUT ELITNAURVIAT	AK	N
020223	TULUKSAK HIGH SCHOOL	AK	N
020224	LEWIS ANGAPAK MEMORIAL HS	AK	N
020225	WHITTIER HIGH SCHOOL	AK	N
020226	ARCTIC VILLAGE SCHOOL	AK	N
020227	GEORGE MORGAN SR HIGH SCHOOL	AK	N
020228	KING COVE HIGH SCHOOL	AK	N
020229	CHEVAK HIGH SCHOOL	AK	N
020230	DOT LAKE SCHOOL	AK	N
020231	FRESHWATER BAY HS	AK	Y
020232	MARSHALL SCHOOL	AK	N
020233	PILOT STATION SCHOOLS	AK	N
020234	RUSSIAN MISSION HIGH SCHOOL	AK	N
020235	INNOKO RIVER HIGH SCHOOL	AK	N
020236	ALEKNAGIK SCHOOL	AK	Y
020237	BLACKWELL SCHOOL	AK	N
020238	MEADE RIVER SCHOOL	AK	N
