<pre>
<B>Information is listed alphabetically by district.
Use the "Edit," "Find" function of your browser to search for a district.


SCHOOL DISTRICT/SCHOOL                 ENTITY NUMBER
  SHARK RIVER HILLS ELEM SCHOOL                 8082
  SUMMERFIELD ELEMENTARY SCHOOL                 8077

NETCONG SCHOOL DISTRICT                       123078
  NETCONG ELEMENTARY SCHOOL                     8179

NEW BRUNSWICK SCHOOL DISTRICT                 123590
  ALTERNATIVE HIGH SCHOOL                       9782
  LINCOLN ELEMENTARY SCHOOL                     9779
  LIVINGSTON ELEMENTARY SCHOOL                  9796
  LORD STIRLING ELEM SCHOOL                     9780
  MCKINLEY ELEMENTARY SCHOOL                    9797
  NEW BRUNSWICK HIGH SCHOOL                     9798
  PAUL ROBESON COMMUNITY SCHOOL                 9791
  REDSHAW ELEMENTARY SCHOOL                     9795
  ROOSEVELT ELEMENTARY SCHOOL                   9788
  WOODROW WILSON ELEMENTARY SCH                 9781

NEW HANOVER TOWNSHIP SCH DIST                 123453
  NEW HANOVER TOWNSHIP SCHOOL                   9250

NEW MILFORD BOARD OF EDUCATION                122928
  BERKLEY STREET ELEM SCHOOL                    7776
  GIBBS ELEMENTARY SCHOOL                       7773
  NEW MILFORD HIGH SCHOOL                       7774
  OWENS MIDDLE SCHOOL                           7772

NEW PROVIDENCE SCHOOL DISTRICT                123148
  ALLEN W ROBERTS ELEM SCHOOL                   8356
  NEW PROVIDENCE HIGH SCHOOL                    8357
  NEW PROVIDENCE MIDDLE SCHOOL                  8358
  SALT BROOK ELEMENTARY SCHOOL                  8361

NEWARK SCHOOL DISTRICT                        122776
  ABINGTON AVE ELEMENTARY SCHOOL                7157
  ALEXANDER STREET ELEM SCHOOL                  7141
  ANN STREET ELEMENTARY SCHOOL                  7135
  ARTS HIGH SCHOOL                              7071
  AVON AVENUE ELEMENTARY SCHOOL                 7168
  BARRINGER HIGH SCHOOL                         7108
  BELMONT-RUNYON ELEM SCHOOL                    7174
  BERLINER ELEMENTARY SCHOOL                    7105
  BOYLAN STREET SCHOOL                          7140
  BRAGAW AVENUE SCH                             7218
  BRANCH BROOK SCHOOL                           7109
  BROADWAY ELEMENTARY SCHOOL                    7126
  BURNET STREET ELEMENTARY SCH                  7075
  CAMDEN MIDDLE SCHOOL                          7093
  CAMDEN STREET ELEMENTARY SCH                  7092
  CARVER ELEMENTARY SCHOOL                      7221
  CENTRAL HIGH SCHOOL                           7101
  CHANCELLOR AVENUE ELEM ANNEX                  7219
  CHANCELLOR AVENUE ELEM SCHOOL                 7216
  CLEMENTE ELEMENTARY SCHOOL                    7116
  CLEVELAND ELEMENTARY SCHOOL                   7091
  CLINTON AVENUE ELEMENTARY SCH                 7169
  DAYTON STREET ELEMENTARY SCH                  7228
  EAST SIDE HIGH SCHOOL                         7132
  EIGHTEENTH AVENUE ELEM SCHOOL                 7173
  ELLIOTT STREET ELEMENTARY SCH                 7122
  FIFTEENTH AVENUE ELEM SCHOOL                  7081
  FIRST AVENUE ELEMENTARY SCHOOL                7153
  FLAGG ELEMENTARY SCHOOL                       7156
  FOURTEENTH AVENUE ELEM SCHOOL                 7090
  FRANKLIN ELEMENTARY SCHOOL                    7107
  G W  CARVER/BRUCE ST SCHOOL                   7222
  HAWKINS STREET ELEMENTARY SCH                 7138
  HAWTHORNE AVENUE ELEM SCHOOL                  7223
  HORTON ELEMENTARY SCHOOL                      7152
  KENNEDY SCHOOL                                7088
  KING ELEMENTARY SCHOOL                        7150
  LAFAYETTE STREET ELEM SCHOOL                  7130
  LAFAYETTE STREET SCHOOL ANNEX                 7129
  LINCOLN ELEMENTARY SCHOOL                     7144
  LOUISE A SPENCER  SCHOOL                      7176
  LUIS MUNOZ MARIN MIDDLE SCHOOL                7121
  MADISON ELEMENTARY SCHOOL                     7165
  MALCOLM X SHABAZZ HIGH SCHOOL                 7175
  MAPLE AVENUE ELEMENTARY ANNEX                 7225
  MAPLE AVENUE ELEMENTARY SCHOOL                7224
  MCKINLEY ELEMENTARY SCHOOL                    7112
  MILLER STREET ELEMENTARY SCH                  7229
  MONTGOMERY ALTERNATIVE HIGH                   7106
  MORTON STREET ELEMENTARY SCH                  7103
  MOUNT VERNON SCHOOL                           7147
  NEW JERSEY REGIONAL DAY SCHOOL                7220
  NEWTON STREET ELEMENTARY SCH                  7098
  OLIVER STREET ELEMENTARY SCH                  7127
  PESHINE AVE ELEMENTARY SCHOOL                 7227
  QUITMAN STREET ELEM SCHOOL                    7104
  REDIRECTION HIGH SCHOOL                       7099
  RICH STREET EARLY CHILDHOOD SC                7117
  RIDGE STREET ELEMENTARY ANNEX                 7120
  RIDGE STREET ELEMENTARY SCHOOL                7114
  ROSEVILLE AVENUE ELEM SCHOOL                  7155
  SCIENCE HIGH SCHOOL                           7079
  SOUTH 17TH STREET ELEM SCHOOL                 7080
  SOUTH STREET ELEMENTARY SCHOOL                7232
  SPEEDWAY AVENUE ELEMENTARY SCH                7143
  SUSSEX AVENUE ELEMENTARY ANNEX                7161
  SUSSEX AVENUE ELEMENTARY SCH                  7162
  THIRTEENTH AVENUE ELEM SCHOOL                 7089
  TUBMAN ELEMENTARY SCHOOL                      7082
  UNIVERSITY HIGH SCHOOL                        7166
  VAILSBURG MIDDLE SCHOOL                       7145
  WARREN STREET ELEMENTARY SCH                  7102
  WEEQUAHIC HIGH SCHOOL                         7217
  WEST KINNEY ALT HIGH SCHOOL                   7095
  WEST SIDE HIGH SCHOOL                         7085
  WILLIAM H BROWN ACADEMY                       7171
  WILSON AVE ELEMENTARY SCHOOL                  7136
  WILSON MIDDLE SCHOOL                          7172

NEWTON SCHOOL DISTRICT                        123080
  HALSTED MIDDLE SCHOOL                         8184
  MERRIAM AVE ELEMENTARY SCHOOL                 8185
  NEWTON HIGH SCHOOL                            8181

NORTH ARLINGTON SCHOOL DIST                   122687
  JEFFERSON ELEMENTARY SCHOOL                   6648
  NORTH ARLINGTON HIGH SCHOOL                   6647
  NORTH ARLINGTON MIDDLE SCHOOL                 6656
  ROOSEVELT ELEMENTARY SCHOOL                   6649
  WASHINGTON ELEMENTARY SCHOOL                  6644

NORTH BERGEN SCHOOL DISTRICT                  122710
  LINCOLN ELEMENTARY SCHOOL #5                  6754
  NORTH BERGEN #10                              6752
  NORTH BERGEN #2                               6759
  NORTH BERGEN #3                               6753
  NORTH BERGEN #7                               6751
  NORTH BERGEN #9                               6756
  NORTH BERGEN HIGH SCHOOL                      6755

NORTH BRUNSWICK TWP SCH DIST                  123589
  ADAMS ELEMENTARY SCHOOL                       9799
  JUDD ELEMENTARY SCHOOL                        9803
  LINWOOD MIDDLE SCHOOL                         9801
  LIVINGSTON PARK ELEM SCHOOL                   9800
  NORTH BRUNSWICK HIGH SCHOOL                   9802
  PARSONS ELEMENTARY SCHOOL                     9804

NORTH CALDWELL SCHOOL DISTRICT                122646
  GOULD AVENUE ELEMENTARY SCHOOL                6493
  GRANDVIEW ELEMENTARY SCHOOL                   6497

NORTH HALEDON SCHOOL DISTRICT                 122880
  HIGH MOUNTAIN MIDDLE SCHOOL                   7636
  MEMORIAL ELEMENTARY SCHOOL                    7637

NORTH HANOVER TWP SCH DISTRICT                123462
  ATLANTIS SCHOOL                               9343
  CHALLENGER SCHOOL                             9344
  CLARENCE LAMB ELEMENTARY SCH                  9248
  COLUMBIA ELEMENTARY SCHOOL                    9345
  DISCOVERY PRIMARY SCHOOL                      9346

NORTH HUDSON CO AREA VOC-TECH CENTER          122711
  JERSEY CITY CENTER                            7318
  NORTH HUDSON VOC-TECH CENTER                  6757
  THE STAR SCHOOL                              206200

NORTH HUNTERDON-VOORHEES DIST                 123497
  NORTH HUNTERDON HIGH SCHOOL                   9480
  VOORHEES HIGH SCHOOL                          9572

NORTH PLAINFIELD SCHOOL DIST                  122727
  EAST END ELEMENTARY SCHOOL                    6865
  NORTH PLAINFIELD HIGH SCHOOL                  6861
  SOMERSET MIDDLE SCHOOL                        6867
  STONY BROOK ELEMENTARY SCHOOL                 6860
  WATCHUNG ELEMENTARY SCHOOL                    6862
  WEST END ELEMENTARY SCHOOL                    6882

NORTH WARREN REG SCHOOL DIST                  123048
  NORTH WARREN REG HIGH SCHOOL                  8127

NORTH WILDWOOD SCHOOL DISTRICT                123375
  MARGARET MACE ELEM SCHOOL                     9017

NORTHERN BURLINGTON CO DIST                   123182
  NORTH BURLINGTON COUNTY SR H S                8477
  NORTH BURLINGTON REG MID SCH                  8478

NORTHERN HIGHLANDS REG HS DIST                122800
  NORTHERN HIGHLANDS REGL H S                   7397

NORTHERN VLY REG HIGH SCH DIST                122904
  NORTHERN VLY REG DEMAREST H S                 7716
  NORTHERN VLY REG OLD TAPPN H S                7862

NORTHFIELD CITY SCHOOL DIST                   123360
  DONALD J ADAMS PRIMARY SCHOOL                 8969
  JAMES LOCUSON ELEMENTARY SCH                  8967
  MILL ROAD MIDDLE SCHOOL                       8968

NORTHVALE SCHOOL DISTRICT                     122929
  NATHAN HALE MIDDLE SCHOOL                     7779
  THOMAS JEFFERSON ELEM SCHOOL                  7780

NORWOOD PUBLIC SCHOOL DISTRICT                122932
  NORWOOD ELEMENTARY SCHOOL                     7783

NUTLEY SCHOOL DISTRICT                        122785
  FRANKLIN MIDDLE SCHOOL                        7194
  LINCOLN ELEMENTARY SCHOOL                     7192
  NUTLEY HIGH SCHOOL                            7193
  RADCLIFFE ELEMENTARY SCHOOL                   7191
  SPRING GARDEN ELEM SCHOOL                     7190
  WASHINGTON ELEMENTARY SCHOOL                  7197
  YANTACAW ELEMENTARY SCHOOL                    7189

OAKLAND PUBLIC SCHOOL DISTRICT                122832
  DOGWOOD HILL ELEM SCHOOL                      7470
  HEIGHTS ELEMENTARY SCHOOL                     7472
  MANITO ELEMENTARY SCHOOL                      7473
  VALLEY MIDDLE SCHOOL                          7469

OAKLYN BOROUGH SCHOOL DISTRICT                123326
  OAKLYN PUBLIC SCHOOL                          8875

OCEAN CITY SCHOOL DISTRICT                    123363
  INTERMEDIATE ELEM SCHOOL                      8970
  OCEAN CITY PRIMARY SCHOOL                     8972

OCEAN COUNTY VOC-TECH DISTRICT                123490
  OCEAN CO VOC TECH SCH BRICKTWN                9404
  OCEAN CO VOC TECH SCH JACKSON                 9187
  OCEAN VOC-TECH WAREHOUSE CTR                  9474
  TOMS RIVER NORTH HIGH SCHOOL                  9460

OCEAN GATE SCHOOL DISTRICT                    123482
  OCEAN GATE ELEMENTARY SCHOOL                  9439

OCEAN TOWNSHIP SCHOOL DISTRICT                123028
  OCEAN TOWNSHIP ELEM SCHOOL                    8089
  OCEAN TOWNSHIP HIGH SCHOOL                    8088
  OCEAN TOWNSHIP INTERMEDIATE SCHOOL            7902
  WANAMASSA ELEMENTARY SCHOOL                   7893
  WAYSIDE ELEMENTARY SCHOOL                     7892
  FREDERIC A PRIFF ELEM SCHOOL                  9476
  WARETOWN ELEMENTARY SCHOOL                    9477

OCEANPORT BOARD OF EDUCATION                  123029
  MAPLE PLACE MIDDLE SCHOOL                     8094
  WOLF HILL ELEMENTARY SCHOOL                   8093

OGDENSBURG SCHOOL DISTRICT                    122834
  OGDENSBURG ELEMENTARY SCHOOL                  7480

OLD BRIDGE TWP SCHOOL DISTRICT                123554
  CARPENTER ELEMENTARY SCHOOL                   9668
  CHEESEQUAKE ELEMENTARY SCH                    8052
  COOPER ELEMENTARY SCHOOL                      8016
  GRISSOM ELEMENTARY SCHOOL                     9667
  MADISON PARK ELEMENTARY SCHOOL                9673
  MCDIVITT ELEMENTARY SCHOOL                    9656
  MEMORIAL ELEMENTARY SCHOOL                    9758
  OLD BRIDGE HIGH SCHOOL                        9657
  OLD BRIDGE HIGH SCHOOL EAST                   9658
  SALK MIDDLE SCHOOL                            9670
  SANDBURG MIDDLE SCHOOL                        9659
  SCHIRRA ELEMENTARY SCHOOL                     9666
  SHEPARD ELEMENTARY SCHOOL                     9665
  SOUTHWOOD ELEMENTARY SCHOOL                   9662
  VOORHEES ELEMENTARY SCHOOL                    9669

OLD TAPPAN SCHOOL DISTRICT                    122958
  CHARLES DEWOLF MIDDLE SCHOOL                  7875
  T BALDWIN DEMAREST ELEM SCHOOL                7863

OLDMANS TOWNSHIP SCHOOL DIST                  123248
  OLDMANS MIDDLE SCHOOL                         8665
  PEDRICKTOWN ELEMENTARY SCHOOL                 8666

ORADELL PUBLIC SCHOOL DISTRICT                122934
  ORADELL ELEMENTARY SCHOOL                     7786

ORANGE BOARD OF EDUCATION                     122713
  CENTRAL ELEMENTARY SCHOOL                     6768
  CLEVELAND STREET ELEM SCHOOL                  6763
  FOREST STREET ELEMENTARY SCH                  6761
  HEYWOOD AVENUE ELEMENTARY SCH                 6764
  LINCOLN AVENUE ELEMENTARY SCH                 6767
  OAKWOOD AVENUE ELEMENTARY SCH                 6770
  ORANGE HIGH SCHOOL                            6765
  ORANGE MIDDLE SCHOOL                          6766
  PARK AVENUE ELEMENTARY SCHOOL                 6771

ORANGE MAPLEWOOD BOARD OD EDUCATION           122698
  CLINTON ELEMENTARY SCHOOL                     6700
  COLUMBIA SENIOR HIGH SCHOOL                   6699
  JEFFERSON ELEMENTARY SCHOOL                   6702
  MAPLEWOOD MIDDLE SCHOOL                       6703
  MARSHALL ELEMENTARY SCHOOL                    6970
  SETH BOYDEN ELEMENTARY SCHOOL                 6705
  SOUTH MOUNTAIN ELEM SCHOOL                    6966
  SOUTH ORANGE MIDDLE SCHOOL                    6967
  TUSCAN ELEMENTARY SCHOOL                      6706

OXFORD TWP SCHOOL DISTRICT                    123087
  OXFORD CENTRAL ELEM SCHOOL                    8192

PALISADES PARK SCHOOL DISTRICT                122936
  LINDBERGH ELEMENTARY SCHOOL                   7789
  PALISADES PARK JR-SR HIGH SCH                 7790

PALMYRA BOROUGH SCHOOL DIST                   123244
  CHARLES ST ELEMENTARY SCHOOL                  8658
  DELAWARE AVENUE ELEM SCHOOL                   8659
  PALMYRA HIGH SCHOOL                           8657

PARAMUS SCHOOL DISTRICT                       122941
  EAST BROOK MIDDLE SCHOOL                      7810
  MEMORIAL ELEMENTARY SCHOOL                    7805
  PARAMUS HIGH SCHOOL                           7804
  PARKWAY ELEMENTARY SCHOOL                     7801
  RIDGE RANCH ELEMENTARY SCHOOL                 7799
  STONY LANE ELEMENTARY SCHOOL                  7800
  WEST BROOK MIDDLE SCHOOL                      7794

PARK RIDGE BOARD OF EDUCATION                 122942
  EAST BROOK ELEM SCHOOL                        7812
  PARK RIDGE HIGH SCHOOL                        7814
  WEST RIDGE ELEMENTARY SCHOOL                  7813

PARSIPPANY-TROY HILLS TWP DIST                122717
  BROOKLAWN MIDDLE SCHOOL                       6799
  CENTRAL MIDDLE SCHOOL                         6790
  EAST LAKE ELEMENTARY SCHOOL                   6800
  INTERVALE ELEMENTARY SCHOOL                   6791
  KNOLLWOOD ELEMENTARY SCHOOL                   6665
  LAKE PARSIPPANY ELEM SCHOOL                   6801
  LITTLETON ELEMENTARY SCHOOL                   8337
  NORTHVAIL ELEMENTARY SCHOOL                   6793
  PARSIPPANY HIGH SCHOOL                        6797
  PARSIPPANY HILLS HIGH SCHOOL                  6792
  ROCKAWAY MEADOW ELEM SCHOOL                   6798
  TROY HILLS ELEMENTARY SCHOOL                  6802

PASCACK VALLY REG H S DIST                    122926
  PASCACK HILLS HIGH SCHOOL                     7770
  PASCACK VALLEY HIGH SCHOOL                    7752

PASSAIC CITY SCHOOL DISTRICT                  122720
  ELEMENTARY SCHOOL 02                          6830
  ETTA GERO SCHOOL NO 9                         6824
  GRANT SCHOOL NO 7                             6807
  JEFFERSON ELEM SCHOOL 01                      6808
  LINCOLN MIDDLE SCHOOL 04                      6814
  MARIO J DRAGO SCHOOL NO 3                     6815
  MARTIN L KING SCHOOL NO 6                     6820
  MEMORIAL ELEMENTARY SCHOOL 11                 6809
  PASSAIC HIGH SCHOOL                           6818
  PASSAIC LEARNING CENTER                       6832
  PULASKI ELEMENTARY SCHOOL 08                  6829
  ROOSEVELT ELEMENTARY SCHOOL 10                6810

PASSAIC CO REG HIGH SCH DIST 1                122824
  PASSAIC VALLEY HIGH SCHOOL                    7453

PASSAIC CO VOCATIONAL SCHOOL                 122859
  PASSAIC CO VOC-TECH HIGH SCH                  7555

PASSAIC COUNTY MANCHESTER DIST                122876
  MANCHESTER REG HIGH SCHOOL                    7631

PATERSON SCHOOL DISTRICT                      122871
  CLEMENTE ELEMENTARY SCHOOL                    7594
  DALE AVENUE ELEMENTARY SCHOOL                 7621
  EASTSIDE HIGH SCHOOL                          7595
  KENNEDY HIGH SCHOOL                           7653
  KILPATRICK ELEMENTARY SCHOOL                  7588
  KING ELEMENTARY SCHOOL                        7643
  NUMBER 02 ELEMENTARY SCHOOL                   7592
  NUMBER 03 ELEMENTARY SCHOOL                   7598
  NUMBER 04 ELEMENTARY SCHOOL                   7659
  NUMBER 05 ELEMENTARY SCHOOL                   7608
  NUMBER 06 ELEMENTARY SCHOOL                   7589
  NUMBER 07 ELEMENTARY SCHOOL                   7597
  NUMBER 08 ELEMENTARY SCHOOL                   7613
  NUMBER 09 ELEMENTARY SCHOOL                   7612
  NUMBER 10 ELEMENTARY SCHOOL                   7665
  NUMBER 11 ELEMENTARY SCHOOL                   7593
  NUMBER 12 ELEMENTARY SCHOOL                   7660
  NUMBER 13 ELEMENTARY SCHOOL                   7617
  NUMBER 14 ELEMENTARY SCHOOL                   7657
  NUMBER 15 ELEMENTARY SCHOOL                   7599
  NUMBER 16 ELEMENTARY SCHOOL                   7646
  NUMBER 17 ELEMENTARY SCHOOL                   7656
  NUMBER 18 ELEMENTARY SCHOOL                   7661
  NUMBER 19 ELEMENTARY SCHOOL                   7605
  NUMBER 20 ELEMENTARY SCHOOL                   7616
  NUMBER 21 ELEMENTARY SCHOOL                   7651
  NUMBER 24 ELEMENTARY SCHOOL                   7645
  NUMBER 25 ELEMENTARY SCHOOL                   7609
  NUMBER 26 ELEMENTARY SCHOOL                   7648
  NUMBER 27 ELEMENTARY SCHOOL                   7603
  NUMBER 28 ELEMENTARY SCHOOL                   7654
  NUMBER 29 ELEMENTARY SCHOOL                   7601
  PARKS FINE ARTS HIGH SCHOOL                   7650
  WEIR ELEMENTARY SCHOOL                        7618

PAULSBORO PUBLIC SCHOOLS                      123246
  BILLINGSPORT ELEM SCHOOL                      8660
  LOUDENSLAGER ELEMENTARY SCHOOL                8663
  PAULSBORO HIGH SCHOOL                         8661

PEMBERTON BOROUGH SCHOOL DIST                 123250
  PEMBERTON BOROUGH ELEM SCHOOL                 8671

PEMBERTON TWP SCHOOL DISTRICT                 123170
  BUSANSKY ELEMENTARY SCHOOL                    8667
  CRICHTON ELEMENTARY SCHOOL                    8441
  DENBO ELEMENTARY SCHOOL                       8442
  EMMONS ELEMENTARY SCHOOL                      8668
  FORT DIX ELEMENTARY SCHOOL                    9342
  HARKER WYLIE ELEMENTARY SCHOOL                8445
  HELEN FORT MIDDLE SCHOOL                      8673
  ISAIAH HAINES SCHOOL                          8446
  MARCUS NEWCOMB SCHOOL                         8669
  PEMBERTON TOWNSHIP HIGH SCHOOL                8672
  STACKHOUSE ELEMENTARY SCHOOL                  8443

PENNS GROVE-CARNEYS PT REG DIS                123251
  FIELD STREET ELEMENTARY SCHOOL                8674
  LAFAYETTE-PERSHING ELEM SCHOOL                8679
  PAUL W CARLETON ELEM SCHOOL                   8675
  PENNS GROVE HIGH SCHOOL                       8676
  PENNS GROVE MIDDLE SCHOOL                     8678

PENNSAUKEN TWP SCHOOL DISTRICT                123335
  BALDWIN ELEMENTARY SCHOOL                     8911
  BURLING MAGENT ELEMENTARY SCH                 8869
  CARSON ELEMENTARY SCHOOL                      8898
  CENTRAL ELEMENTARY SCHOOL                     8908
  DELAIR ELEMENTARY SCHOOL                      8910
  FINE ELEMENTARY SCHOOL                        8901
  FRANKLIN ELEMENTARY SCHOOL                    8900
  LONGFELLOW ELEMENTARY SCHOOL                  8905
  PENNSAUKEN HIGH SCHOOL                        8906
  PHIFER MIDDLE SCHOOL                          8902
  ROOSEVELT ELEMENTARY SCHOOL                   8894

PENNSVILLE SCHOOL DISTRICT                    123253
  CENTRAL PARK ELEMENTARY SCHOOL                8682
  PENN BEACH ELEMENTARY SCHOOL                  8687
  PENNSVILLE MEMORIAL HIGH SCH                  8685
  PENNSVILLE MIDDLE SCHOOL                      8684
  VALLEY PARK ELEMENTARY SCHOOL                 8686

PEQUANNOCK TOWNSHIP SCH DIST                  122837
  GERACE ELEMENTARY SCHOOL                      7482
  HILLVIEW ELEMENTARY SCHOOL                    7492
  NORTH BOULEVARD ELEM SCHOOL                   7489
  PEQUANNOCK TOWNSHIP HIGH SCH                  7491
  PEQUANNOCK VALLEY MIDDLE SCH                  7493

PERTH AMBOY SCHOOL DISTRICT                   123558
  CERES ELEMENTARY SCHOOL                       9686
  EDWARD J PATTEN ELEMENTARY SCH                9684
  FLYNN ELEMENTARY SCHOOL                       9679
  MCGINNIS MIDDLE SCHOOL                        9692
  PERTH AMBOY ELEM SCHOOL 07                    9694
  PERTH AMBOY ELEM SCHOOL 10                    9689
  PERTH AMBOY HIGH SCHOOL                       9681
  PETERSON ELEMENTARY SCHOOL                    9693
  SHULL MIDDLE SCHOOL                           9683

PHILLIPSBURG SCHOOL DISTRICT                  123561
  ANDOVER-MORRIS ELEM SCHOOL                    9710
  BARBER ELEMENTARY SCHOOL                      9704
  FREEMAN ELEMENTARY SCHOOL                     9708
  GREEN STREET ELEM SCHOOL                      9711
  PHILLIPSBURG HIGH SCHOOL                      9705
  PHILLIPSBURG MIDDLE SCHOOL                    9709

PINE HILL BOROUGH SCHOOL DISTRICT             123180
  BEAN ELEMENTARY SCHOOL                        8473
  GLENN ELEMENTARY SCHOOL                       8475

PINELANDS REG SCHOOL DISTRICT                 123294
  PINELANDS REGIONAL HIGH SCHOOL                8770
  PINELANDS REGIONAL MIDDLE SCH                 8771

PISCATAWAY TWP SCHOOL DISTRICT                123553
  ARBOR ELEMENTARY SCHOOL                       9633
  CONACKAMACK MIDDLE SCHOOL                     9648
  EISENHOWER ELEMENTARY SCHOOL                  9641
  GRANDVIEW ELEMENTARY SCHOOL                   9637
  KING ELEMENTARY SCHOOL                        9647
  KNOLLWOOD ELEMENTARY SCHOOL                   9645
  PISCATAWAY TWP HIGH SCHOOL                    9643
  QUIBBLETOWN MIDDLE SCHOOL                     9636
  RANDOLPHVILLE ELEM SCHOOL                     9644
  SCHOR MIDDLE SCHOOL                           9638

PITMAN PUBLIC SCHOOL DISTRICT                 123255
  KINDLE ELEMENTARY SCHOOL                      8693
  PITMAN HIGH SCHOOL                            8691
  PITMAN MEMORIAL ELEM SCHOOL                   8689
  PITMAN MIDDLE SCHOOL                          8692
  WALLS ELEMENTARY SCHOOL                       8690

PITTSGROVE TOWNSHIP SCH DIST                  123395
  NORMA ELEMENTARY SCHOOL                       9091
  OLIVET ELEMENTARY SCHOOL                      9050
  PITTSGROVE TWP MIDDLE SCHOOL                  9052
  SCHALICK HIGH SCHOOL                          9051

PLAINFIELD PUBLIC SCHOOLS                     122726
  BARLOW ELEMENTARY SCHOOL                      6872
  CEDARBROOK ELEMENTARY SCHOOL                  6857
  CLINTON ELEMENTARY SCHOOL                     6879
  COOK ELEMENTARY SCHOOL                        6877
  EMERSON ELEMENTARY SCHOOL                     6873
  EVERGREEN ELEMENTARY SCHOOL                   6854
  HUBBARD MIDDLE SCHOOL                         6853
  JEFFERSON ELEMENTARY SCHOOL                   6878
  MAXSON MIDDLE SCHOOL                          6876
  PLAINFIELD HIGH SCHOOL                        6858
  STILLMAN ELEMENTARY SCHOOL                    6864
  WASHINGTON ELEMENTARY SCHOOL                  6852
  WOODLAND ELEMENTARY SCHOOL                    6875

PLEASANTVILLE SCHOOL DISTRICT                 123365
  LEEDS AVE ELEMENTARY SCHOOL                   8977
  NORTH MAIN STREET ELEM SCHOOL                 8978
  PLEASANTVILLE HIGH SCHOOL                     8983
  SOUTH MAIN ST ELEM SCHOOL                     8984
  WASHINGTON AVENUE SCHOOL                      8981

PLUMSTED TWP SCHOOL DISTRICT                  123438
  NEW EGYPT ELEMENTARY SCHOOL                   9196

POHATCONG TWP SCHOOL DISTRICT                 123500
  SHIMER ELEMENTARY SCHOOL                      9712
  WARREN GLEN ELEMENTARY SCHOOL                 9484

POINT PLEASANT BEACH SCH DIST                 123483
  G HAROLD ANTRIM ELEM SCHOOL                   9441
  POINT PLEASANT BCH HIGH SCHOOL                9446

POINT PLEASANT BORO SCH DIST                  123484
  BENNETT ELEMENTARY SCHOOL                     9449
  MEMORIAL MIDDLE SCHOOL                        9442
  OCEAN ROAD ELEMENTARY SCHOOL                  9443
  POINT PLEASANT BORO HIGH SCH                  9444

POMPTON LAKES SCHOOL DISTRICT                 122835
  LAKESIDE MIDDLE SCHOOL                        7484
  LENOX ELEMENTARY SCHOOL                       7486
  LINCOLN ELEMENTARY SCHOOL                     7485
  POMPTON LAKES HIGH SCHOOL                     7483

PORT REPUBLIC SCHOOL DISTRICT                 123367
  PORT REPUBLIC ELEMENTARY SCH                  8996

PRINCETON REGIONAL SCH DIST                   123442
  COMMUNITY PARK ELEM SCHOOL                    9224
  JOHN WITHERSPOON MIDDLE SCHOOL                9213
  JOHNSON PARK ELEMENTARY SCHOOL                9219
  LITTLEBROOK ELEMENTARY SCHOOL                 9214
  PRINCETON HIGH SCHOOL                         9212
  RIVERSIDE ELEMENTARY SCHOOL                   9216

PROSPECT PARK SCHOOL DIST 1                   122877
  PROSPECT PARK ELEM SCHOOL                     7633

QUINTON TOWNSHIP SCHOOL DIST                  123257
  QUINTON TWP ELEMENTARY SCHOOL                 8694

RAHWAY SCHOOL DISTRICT                        122729
  CLEVELAND ELEMENTARY SCHOOL                   6890
  FRANKLIN ELEMENTARY SCHOOL                    6887
  MADISON ELEMENTARY SCHOOL                     6884
  RAHWAY HIGH SCHOOL                            6885
  RAHWAY INTERMEDIATE SCHOOL                    6886
  ROOSEVELT ELEMENTARY SCHOOL                   6888

RAMAPO INDIAN HLS REG H S DIST                122817
  INDIAN HILLS HIGH SCHOOL                      7471
  RAMAPO HIGH SCHOOL                            7438

RAMSEY PUBLIC SCHOOL DISTRICT                 122839
  ERIC S SMITH MIDDLE SCHOOL                    7494
  JOHN Y DATER ELEMENTARY SCHOOL                7495
  MARY A HUBBARD ELEM SCHOOL                    7500
  RAMSEY HIGH SCHOOL                            7499
  WESLEY D TISDALE ELEM SCHOOL                  7496

RANCOCAS VLY REG HIGH SCH DIST                123232
  RANCOCAS VALLEY REG HIGH SCH                  8640

RANDOLPH TWP SCHOOL DISTRICT                  123093
  CENTER GROVE ELEMENTARY SCHOOL                8207
  FERNBROOK ELEMENTARY SCHOOL                   8204
  IRONIA ELEMENTARY SCHOOL                      8203
  RANDOLPH HIGH SCHOOL                          8208
  RANDOLPH MIDDLE SCHOOL                        8209
  SHONGHUM ELEMENTARY SCHOOL                    8210

READINGTON TOWNSHIP SCH DIST                  123570
  READINGTON MIDDLE SCHOOL                      9720
  THREE BRIDGES ELEM SCHOOL                     9776
  WHITEHOUSE ELEMENTARY SCHOOL                  9777

RED BANK REG HIGH SCHOOL DIST                 123013
  RED BANK REGIONAL HIGH SCHOOL                 8028

RED BANK SCHOOL DISTRICT                      122967
  RED BANK MIDDLE SCHOOL                        7880
  RED BANK PRIMARY SCHOOL                       7877

RIDGEFIELD PARK SCHOOL DIST                   122946
  GRANT ELEMENTARY SCHOOL                       7827
  RIDGEFIELD JR-SR HIGH SCHOOL                  7823
  ROOSEVELT ELEMENTARY SCHOOL                   7824

RIDGEFIELD SCHOOL DISTRICT                    122944
