<pre>
<B>Information is listed alphabetically by district.
Use the "Edit," "Find" function of your browser to search for a district.


SCHOOL DISTRICT/SCHOOL                 ENTITY NUMBER
CAPE MAY CO SPECIAL SERVICES                  123348
  ALTERNATIVE HIGH SCHOOL                       8941
  MULLICA TWP MIDDLE SCHOOL                     8956
  OCEAN ACADEMY                                 8944

CAPE MAY CO TECH SCHOOL DIST                  123349
  CAPE MAY CO TECH SCHOOL                       8942

CARLSTADT SCHOOL DISTRICT                     122741
  LINCOLN ELEMENTARY SCHOOL                     6930
  LINDBERGH ELEMENTARY SCHOOL                   6931
  WASHINGTON ELEMENTARY SCHOOL                  6929

CARLSTADT-E RUTHERFORD REG S D                122742
  H.P BECTON REG HIGH SCHOOL                    6934

CARTERET PUBLIC SCHOOLS                       122652
  CARTERET HIGH SCHOOL                          6511
  CARTERET MIDDLE SCHOOL                        6510
  COLUMBUS ELEMENTARY SCHOOL                    6507
  PRIVATE N MINUE ELEM SCHOOL                   6508

CEDAR GROVE TOWNSHIP SCH DIST                 122655
  CEDAR GROVE HIGH SCHOOL                       6513
  MEMORIAL MIDDLE SCHOOL                        6514
  NORTH END ELEMENTARY SCHOOL                   6516
  SOUTH END ELEMENTARY SCHOOL                   6515

CENTRAL REGIONAL SCHOOL DIST                  123471
  CENTRAL REGIONAL HIGH SCHOOL                  9393
  CENTRAL REGIONAL MIDDLE SCHOOL                9394

CHATHAM SCHOOL DISTRICT                       123124
  CHATHAM HIGH SCHOOL                           8288
  CHATHAM MIDDLE SCHOOL                         8291
  LAFAYETTE ELEMENTARY SCHOOL                   8289
  MILTON AVE ELEMENTARY SCHOOL                  8294
  SOUTHERN BLVD ELEMENTARY SCH                  8287
  WASHINGTON AVE ELEM SCHOOL                    8290

CHERRY HILL TOWNSHIP SCHOOL DISTRICT          123197
  BARTON ELEMENTARY SCHOOL                      8386
  BECK MIDDLE SCHOOL                            8390
  CARUSI JUNIOR HIGH SCHOOL                     8381
  CHERRY HILL HIGH SCHOOL EAST                  8395
  COOPER ELEMENTARY SCHOOL                      8388
  HARTE ELEMENTARY SCHOOL                       8396
  JOHNSON ELEMENTARY SCHOOL                     8523
  KILMER ELEMENTARY SCHOOL                      8383
  KINGSTON ELEMENTARY SCHOOL                    8520
  KNIGHT ELEMENTARY SCHOOL                      8524
  MALBERG ALTERNATIVE SCHOOL                    8521
  MANN ELEMENTARY SCHOOL                        8398
